"Statistic Label","Census Year","Ethnicity","Citizenship","UNIT","VALUE"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - Indian/Pakistani/Bangladeshi","Ukraine","Number","13"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - Indian/Pakistani/Bangladeshi","United Kingdom of Great Britain and Northern Ireland (the)","Number","1543"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - Indian/Pakistani/Bangladeshi","Other EU27 (2020)","Number","632"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - Indian/Pakistani/Bangladeshi","Rest of Europe(1)","Number","35"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - Indian/Pakistani/Bangladeshi","Africa","Number","623"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - Indian/Pakistani/Bangladeshi","China","Number","1"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - Indian/Pakistani/Bangladeshi","India","Number","42687"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - Indian/Pakistani/Bangladeshi","Other Asia(1)","Number","10245"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - Indian/Pakistani/Bangladeshi","Australia","Number","61"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - Indian/Pakistani/Bangladeshi","United States of America (the)","Number","250"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - Indian/Pakistani/Bangladeshi","Brazil","Number","19"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - Indian/Pakistani/Bangladeshi","Other America(1)","Number","301"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - Indian/Pakistani/Bangladeshi","Other countries","Number","265"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - Indian/Pakistani/Bangladeshi","Multiple/Dual citizenship","Number","148"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - Indian/Pakistani/Bangladeshi","No citizenship","Number","460"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - Indian/Pakistani/Bangladeshi","Citizenship not stated","Number","349"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - any other Asian background","All citizenships","Number","44944"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - any other Asian background","Ireland","Number","25624"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - any other Asian background","Croatia","Number","14"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - any other Asian background","France","Number","176"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - any other Asian background","Germany","Number","116"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - any other Asian background","Italy","Number","66"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - any other Asian background","Latvia","Number","34"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - any other Asian background","Lithuania","Number","32"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - any other Asian background","Poland","Number","45"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - any other Asian background","Romania","Number","44"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - any other Asian background","Spain","Number","75"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - any other Asian background","Ukraine","Number","16"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - any other Asian background","United Kingdom of Great Britain and Northern Ireland (the)","Number","614"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - any other Asian background","Other EU27 (2020)","Number","338"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - any other Asian background","Rest of Europe(1)","Number","194"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - any other Asian background","Africa","Number","559"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - any other Asian background","China","Number","42"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - any other Asian background","India","Number","142"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - any other Asian background","Other Asia(1)","Number","15368"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - any other Asian background","Australia","Number","81"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - any other Asian background","United States of America (the)","Number","234"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - any other Asian background","Brazil","Number","239"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - any other Asian background","Other America(1)","Number","145"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - any other Asian background","Other countries","Number","170"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - any other Asian background","Multiple/Dual citizenship","Number","69"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - any other Asian background","No citizenship","Number","323"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - any other Asian background","Citizenship not stated","Number","184"
"Population Usually Resident and Present in the State","2022","Arab","All citizenships","Number","20115"
"Population Usually Resident and Present in the State","2022","Arab","Ireland","Number","8695"
"Population Usually Resident and Present in the State","2022","Arab","Croatia","Number","3"
"Population Usually Resident and Present in the State","2022","Arab","France","Number","277"
"Population Usually Resident and Present in the State","2022","Arab","Germany","Number","24"
"Population Usually Resident and Present in the State","2022","Arab","Italy","Number","80"
"Population Usually Resident and Present in the State","2022","Arab","Latvia","Number","1"
"Population Usually Resident and Present in the State","2022","Arab","Lithuania","Number","5"
"Population Usually Resident and Present in the State","2022","Arab","Poland","Number","21"
"Population Usually Resident and Present in the State","2022","Arab","Romania","Number","24"
"Population Usually Resident and Present in the State","2022","Arab","Spain","Number","86"
"Population Usually Resident and Present in the State","2022","Arab","Ukraine","Number","18"
"Population Usually Resident and Present in the State","2022","Arab","United Kingdom of Great Britain and Northern Ireland (the)","Number","179"
"Population Usually Resident and Present in the State","2022","Arab","Other EU27 (2020)","Number","173"
"Population Usually Resident and Present in the State","2022","Arab","Rest of Europe(1)","Number","41"
"Population Usually Resident and Present in the State","2022","Arab","Africa","Number","3849"
"Population Usually Resident and Present in the State","2022","Arab","China","Number","1"
"Population Usually Resident and Present in the State","2022","Arab","India","Number","4"
"Population Usually Resident and Present in the State","2022","Arab","Other Asia(1)","Number","5793"
"Population Usually Resident and Present in the State","2022","Arab","Australia","Number","18"
"Population Usually Resident and Present in the State","2022","Arab","United States of America (the)","Number","75"
"Population Usually Resident and Present in the State","2022","Arab","Brazil","Number","14"
"Population Usually Resident and Present in the State","2022","Arab","Other America(1)","Number","152"
"Population Usually Resident and Present in the State","2022","Arab","Other countries","Number","85"
"Population Usually Resident and Present in the State","2022","Arab","Multiple/Dual citizenship","Number","44"
"Population Usually Resident and Present in the State","2022","Arab","No citizenship","Number","242"
"Population Usually Resident and Present in the State","2022","Arab","Citizenship not stated","Number","211"
"Population Usually Resident and Present in the State","2022","Other including mixed background","All citizenships","Number","64992"
"Population Usually Resident and Present in the State","2022","Other including mixed background","Ireland","Number","33519"
"Population Usually Resident and Present in the State","2022","Other including mixed background","Croatia","Number","224"
"Population Usually Resident and Present in the State","2022","Other including mixed background","France","Number","636"
"Population Usually Resident and Present in the State","2022","Other including mixed background","Germany","Number","394"
"Population Usually Resident and Present in the State","2022","Other including mixed background","Italy","Number","853"
"Population Usually Resident and Present in the State","2022","Other including mixed background","Latvia","Number","329"
"Population Usually Resident and Present in the State","2022","Other including mixed background","Lithuania","Number","404"
"Population Usually Resident and Present in the State","2022","Other including mixed background","Poland","Number","1119"
"Population Usually Resident and Present in the State","2022","Other including mixed background","Romania","Number","1608"
"Population Usually Resident and Present in the State","2022","Other including mixed background","Spain","Number","1055"
"Population Usually Resident and Present in the State","2022","Other including mixed background","Ukraine","Number","213"
"Population Usually Resident and Present in the State","2022","Other including mixed background","United Kingdom of Great Britain and Northern Ireland (the)","Number","2094"
"Population Usually Resident and Present in the State","2022","Other including mixed background","Other EU27 (2020)","Number","1804"
"Population Usually Resident and Present in the State","2022","Other including mixed background","Rest of Europe(1)","Number","1173"
"Population Usually Resident and Present in the State","2022","Other including mixed background","Africa","Number","1353"
"Population Usually Resident and Present in the State","2022","Other including mixed background","China","Number","15"
"Population Usually Resident and Present in the State","2022","Other including mixed background","India","Number","53"
"Population Usually Resident and Present in the State","2022","Other including mixed background","Other Asia(1)","Number","1654"
